,Unnamed: 0,Числовое значение,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,Числовое значение.1,ДИРХАМ ОАЭ,Числовое значение.2,ДОЛЛАР США,Числовое значение.3,ЕВРО,Числовое значение.4,РОССИЙСКИЙ РУБЛЬ,Числовое значение.5,ТУРЕЦКАЯ ЛИРА
0,2014-01-01,1,254.8,1,41.95,1,154.06,1,212.02,1,4.68,1,72.67
1,2014-01-02,1,254.8,1,41.95,1,154.06,1,212.02,1,4.68,1,72.67
2,2014-01-03,1,254.8,1,41.95,1,154.06,1,212.02,1,4.68,1,72.67
3,2014-01-04,1,254.8,1,41.95,1,154.06,1,212.02,1,4.68,1,72.67
4,2014-01-05,1,254.8,1,41.95,1,154.06,1,212.02,1,4.68,1,72.67
5,2014-01-06,1,254.8,1,41.95,1,154.06,1,212.02,1,4.68,1,72.67
6,2014-01-07,1,252.93,1,42.06,1,154.47,1,210.13,1,4.65,1,70.51
7,2014-01-08,1,252.93,1,42.06,1,154.47,1,210.13,1,4.65,1,70.51
8,2014-01-09,1,253.77,1,42.06,1,154.49,1,210.2,1,4.66,1,71.21
9,2014-01-10,1,254.26,1,42.07,1,154.51,1,210.27,1,4.67,1,70.7
10,2014-01-11,1,254.36,1,42.07,1,154.52,1,210.16,1,4.65,1,70.82
11,2014-01-12,1,254.36,1,42.07,1,154.52,1,210.16,1,4.65,1,70.82
12,2014-01-13,1,254.36,1,42.07,1,154.52,1,210.16,1,4.65,1,70.82
13,2014-01-14,1,254.14,1,42.1,1,154.64,1,211.3,1,4.67,1,71.23
14,2014-01-15,1,254.05,1,42.14,1,154.76,1,211.79,1,4.65,1,70.64
15,2014-01-16,1,254.17,1,42.2,1,154.99,1,211.08,1,4.65,1,70.61
16,2014-01-17,1,253.53,1,42.25,1,155.17,1,211.17,1,4.64,1,70.34
17,2014-01-18,1,253.21,1,42.25,1,155.17,1,211.02,1,4.64,1,70.29
18,2014-01-19,1,253.21,1,42.25,1,155.17,1,211.02,1,4.64,1,70.29
19,2014-01-20,1,253.21,1,42.25,1,155.17,1,211.02,1,4.64,1,70.29
20,2014-01-21,1,255.33,1,42.27,1,155.27,1,210.45,1,4.6,1,69.25
21,2014-01-22,1,255.0,1,42.28,1,155.3,1,210.21,1,4.58,1,69.37
22,2014-01-23,1,255.33,1,42.24,1,155.14,1,210.06,1,4.58,1,68.97
23,2014-01-24,1,257.53,1,42.23,1,155.1,1,211.42,1,4.55,1,67.82
24,2014-01-25,1,257.87,1,42.23,1,155.09,1,211.99,1,4.51,1,67.3
25,2014-01-26,1,257.87,1,42.23,1,155.09,1,211.99,1,4.51,1,67.3
26,2014-01-27,1,257.87,1,42.23,1,155.09,1,211.99,1,4.51,1,67.3
27,2014-01-28,1,256.28,1,42.25,1,155.17,1,212.51,1,4.46,1,65.38
28,2014-01-29,1,257.82,1,42.3,1,155.35,1,212.24,1,4.5,1,68.56
29,2014-01-30,1,258.08,1,42.34,1,155.5,1,212.57,1,4.46,1,70.88
30,2014-01-31,1,256.73,1,42.35,1,155.54,1,211.58,1,4.4,1,68.1
31,2014-02-01,1,256.14,1,42.34,1,155.5,1,210.75,1,4.44,1,68.93
32,2014-02-02,1,256.14,1,42.34,1,155.5,1,210.75,1,4.44,1,68.93
33,2014-02-03,1,256.14,1,42.34,1,155.5,1,210.75,1,4.44,1,68.93
34,2014-02-04,1,254.89,1,42.33,1,155.49,1,209.86,1,4.42,1,68.6
35,2014-02-05,1,253.46,1,42.37,1,155.63,1,210.29,1,4.4,1,68.8
36,2014-02-06,1,254.01,1,42.38,1,155.68,1,210.4,1,4.47,1,69.45
37,2014-02-07,1,253.26,1,42.33,1,155.46,1,210.31,1,4.47,1,69.71
38,2014-02-08,1,254.04,1,42.34,1,155.5,1,210.89,1,4.49,1,70.14
39,2014-02-09,1,254.04,1,42.34,1,155.5,1,210.89,1,4.49,1,70.14
40,2014-02-10,1,254.04,1,42.34,1,155.5,1,210.89,1,4.49,1,70.14
41,2014-02-11,1,255.12,1,42.35,1,155.56,1,212.25,1,4.47,1,69.95
42,2014-02-12,1,268.93,1,44.62,1,163.9,1,224.07,1,4.71,1,74.33
43,2014-02-13,1,303.56,1,50.23,1,184.5,1,251.57,1,5.31,1,84.26
44,2014-02-14,1,307.03,1,50.23,1,184.5,1,251.33,1,5.28,1,84.07
45,2014-02-15,1,308.32,1,50.24,1,184.51,1,252.72,1,5.23,1,84.52
46,2014-02-16,1,308.32,1,50.24,1,184.51,1,252.72,1,5.23,1,84.52
47,2014-02-17,1,308.32,1,50.24,1,184.51,1,252.72,1,5.23,1,84.52
48,2014-02-18,1,309.22,1,50.23,1,184.5,1,252.78,1,5.26,1,84.59
49,2014-02-19,1,307.85,1,50.23,1,184.51,1,253.06,1,5.22,1,84.51
50,2014-02-20,1,308.62,1,50.24,1,184.54,1,253.83,1,5.17,1,84.38
51,2014-02-21,1,307.67,1,50.31,1,184.8,1,253.12,1,5.16,1,83.58
52,2014-02-22,1,308.26,1,50.36,1,184.95,1,253.55,1,5.18,1,84.23
53,2014-02-23,1,308.26,1,50.36,1,184.95,1,253.55,1,5.18,1,84.23
54,2014-02-24,1,308.26,1,50.36,1,184.95,1,253.55,1,5.18,1,84.23
55,2014-02-25,1,307.41,1,50.23,1,184.51,1,253.96,1,5.21,1,84.64
56,2014-02-26,1,307.6,1,50.22,1,184.47,1,253.68,1,5.17,1,83.38
57,2014-02-27,1,308.37,1,50.29,1,184.72,1,253.9,1,5.14,1,83.85
58,2014-02-28,1,306.33,1,50.11,1,184.06,1,251.41,1,5.1,1,82.28
59,2014-03-01,1,308.04,1,50.12,1,184.08,1,252.5,1,5.09,1,83.07
60,2014-03-02,1,308.04,1,50.12,1,184.08,1,252.5,1,5.09,1,83.07
61,2014-03-03,1,308.04,1,50.12,1,184.08,1,252.5,1,5.09,1,83.07
62,2014-03-04,1,307.71,1,50.12,1,184.07,1,253.61,1,5.05,1,82.97
63,2014-03-05,1,304.82,1,49.68,1,182.46,1,250.96,1,5.02,1,82.39
64,2014-03-06,1,303.26,1,49.49,1,181.78,1,249.73,1,5.03,1,82.38
65,2014-03-07,1,304.2,1,49.58,1,182.09,1,249.95,1,5.04,1,82.73
66,2014-03-08,1,305.08,1,49.57,1,182.08,1,252.6,1,5.02,1,83.33
67,2014-03-09,1,305.08,1,49.57,1,182.08,1,252.6,1,5.02,1,83.33
68,2014-03-10,1,305.08,1,49.57,1,182.08,1,252.6,1,5.02,1,83.33
69,2014-03-11,1,305.08,1,49.57,1,182.08,1,252.6,1,5.02,1,83.33
70,2014-03-12,1,302.64,1,49.57,1,182.07,1,252.29,1,5.01,1,82.15
71,2014-03-13,1,302.41,1,49.59,1,182.13,1,252.23,1,4.99,1,80.98
72,2014-03-14,1,303.38,1,49.58,1,182.1,1,254.07,1,5.0,1,81.88
73,2014-03-15,1,302.4,1,49.58,1,182.1,1,252.5,1,4.97,1,81.6
74,2014-03-16,1,302.4,1,49.58,1,182.1,1,252.5,1,4.97,1,81.6
75,2014-03-17,1,302.4,1,49.58,1,182.1,1,252.5,1,4.97,1,81.6
76,2014-03-18,1,303.11,1,49.57,1,182.06,1,253.17,1,4.96,1,81.97
77,2014-03-19,1,302.29,1,49.57,1,182.06,1,253.3,1,4.98,1,81.79
78,2014-03-20,1,302.55,1,49.57,1,182.04,1,253.27,1,5.05,1,82.09
79,2014-03-21,1,301.35,1,49.56,1,182.02,1,251.57,1,5.03,1,81.42
80,2014-03-22,1,301.35,1,49.56,1,182.02,1,251.57,1,5.03,1,81.42
81,2014-03-23,1,301.35,1,49.56,1,182.02,1,251.57,1,5.03,1,81.42
82,2014-03-24,1,301.35,1,49.56,1,182.02,1,251.57,1,5.03,1,81.42
83,2014-03-25,1,301.35,1,49.56,1,182.02,1,251.57,1,5.03,1,81.42
84,2014-03-26,1,301.35,1,49.56,1,182.02,1,251.57,1,5.03,1,81.42
85,2014-03-27,1,301.03,1,49.57,1,182.08,1,251.16,1,5.14,1,82.05
86,2014-03-28,1,301.55,1,49.56,1,182.05,1,250.56,1,5.12,1,82.86
87,2014-03-29,1,302.59,1,49.57,1,182.04,1,249.7,1,5.09,1,83.12
88,2014-03-30,1,302.59,1,49.57,1,182.04,1,249.7,1,5.09,1,83.12
89,2014-03-31,1,302.59,1,49.57,1,182.04,1,249.7,1,5.09,1,83.12
90,2014-04-01,1,302.62,1,49.57,1,182.06,1,250.21,1,5.11,1,84.29
91,2014-04-02,1,303.07,1,49.57,1,182.07,1,251.22,1,5.19,1,84.72
92,2014-04-03,1,303.03,1,49.56,1,182.03,1,251.0,1,5.15,1,85.17
93,2014-04-04,1,302.08,1,49.56,1,182.02,1,250.5,1,5.12,1,85.16
94,2014-04-05,1,302.06,1,49.56,1,182.05,1,249.5,1,5.14,1,85.23
95,2014-04-06,1,302.06,1,49.56,1,182.05,1,249.5,1,5.14,1,85.23
96,2014-04-07,1,302.06,1,49.56,1,182.05,1,249.5,1,5.14,1,85.23
97,2014-04-08,1,301.64,1,49.56,1,182.03,1,249.58,1,5.12,1,86.1
98,2014-04-09,1,304.12,1,49.56,1,182.04,1,250.61,1,5.13,1,86.82
99,2014-04-10,1,304.64,1,49.57,1,182.07,1,251.11,1,5.1,1,86.71
100,2014-04-11,1,305.27,1,49.55,1,182.01,1,252.21,1,5.12,1,86.55
101,2014-04-12,1,305.16,1,49.56,1,182.02,1,252.72,1,5.11,1,86.12
102,2014-04-13,1,305.16,1,49.56,1,182.02,1,252.72,1,5.11,1,86.12
103,2014-04-14,1,305.16,1,49.56,1,182.02,1,252.72,1,5.11,1,86.12
104,2014-04-15,1,304.28,1,49.56,1,182.03,1,251.55,1,5.06,1,85.53
105,2014-04-16,1,304.29,1,49.57,1,182.07,1,251.2,1,5.06,1,85.62
106,2014-04-17,1,305.97,1,49.56,1,182.03,1,251.95,1,5.05,1,85.4
107,2014-04-18,1,306.43,1,49.57,1,182.06,1,252.06,1,5.07,1,85.43
108,2014-04-19,1,305.48,1,49.57,1,182.05,1,251.54,1,5.12,1,85.57
109,2014-04-20,1,305.48,1,49.57,1,182.05,1,251.54,1,5.12,1,85.57
