,0,1,2,3
0,Дата установления ставки (с),"Размер ставки, %","Коридор базовой ставки, %",Примечание
1,02.09.2015,120,"7,0 - 17,0",Пресс-релиз НБ РК от 2 сентября 2015 года № 43 «Решение по базовой ставке Национального Банка Казахстана»
2,02.10.2015,160,"15,0 - 17,0",Пресс-релиз НБ РК от 2 октября 2015 года № 49 «Национальный Банк повышает базовую ставку до 16%»
3,02.02.2016,170,"15,0 - 19,0",Пресс-релиз НБ РК от 1 февраля 2016 года № 2 «Национальный Банк Республики Казахстан установил базовую ставку и возобновляет операции постоянного доступа»
4,14.03.2016,170,"15,0 - 19,0",Пресс-релиз НБ РК от 14 марта 2016 года № 6 «Национальный Банк Республики Казахстан установил базовую ставку и возобновляет операции постоянного доступа»
5,05.05.2016,150,"14,0 - 16,0",Пресс-релиз НБ РК от 5 мая 2016 года № 9 «О базовой ставке»
6,06.06.2016,150,"14,0 - 16,0",Пресс-релиз НБ РК от 6 июня 2016 года № 14 «О базовой ставке»
7,11.07.2016,130,"12,0 - 14,0",Пресс-релиз НБ РК от 11 июля 2016 года № 17 «О базовой ставке»
8,15.08.2016,130,"12,0 - 14,0",Пресс-релиз НБ РК от 15 августа 2016 года № 23 «О базовой ставке»
9,03.10.2016,125,"11,5 - 13,5",Пресс-релиз НБ РК от 3 октября 2016 года № 27 «О базовой ставке»
10,14.11.2016,120,"11,0 - 13,0",Пресс-релиз НБ РК от 14 ноября 2016 года № 34 «О базовой ставке»
11,09.01.2017,120,"11,0 - 13,0",Пресс-релиз НБ РК от 9 января 2017 года № 1 «О базовой ставке»
12,21.02.2017,110,"10,0 - 12,0",Пресс-релиз НБ РК от 20 февраля 2017 года № 7 «О базовой ставке»
13,11.04.2017,110,"10,0 - 12,0",Пресс-релиз НБ РК от 10 апреля 2017 года № 10 «О сохранении базовой ставки на уровне 11%»
14,06.06.2017,105,"9,5 - 11,5","Пресс-релиз НБ РК от 5 июня 2017 года № 16 «О снижении базовой ставки до 10,5%»"
15,18.07.2017,105,"9,5 - 11,5","Пресс-релиз НБ РК от 17 июля 2017 года № 19 «О сохранении базовой ставки на уровне 10,5%»"
16,22.08.2017,1025,"9,25 - 11,25",Постановление Совета директоров НБ РК от 21 августа 2017 года № 114
17,09.10.2017,1025,"9,25 - 11,25","Постановление Совета директоров НБ РК от 9 октября 2017 года № 133Пресс-релиз НБ РК от 9 октября 2017 года № 29 «О сохранении базовой ставки на уровне 10,25%»"
18,23.11.2017,1025,"9,25 - 11,25","Пресс-релиз НБ РК от 27 ноября 2017 года № 38 «О сохранении базовой ставки на уровне 10,25%»"
19,16.01.2018,975,"8,75 - 10,75","Пресс-релиз НБ РК от 15 января 2018 года № 1 «О снижении базовой ставки до 9,75%»"
20,05.03.2018,95,"8,5 - 10,5","Пресс-релиз НБ РК от 5 марта 2018 года № 4 «О снижении базовой ставки до 9,5%»"
21,16.04.2018,925,"8,25 - 10,25","Пресс-релиз НБ РК от 16 апреля 2018 года № 7 «О снижении базовой ставки до 9,25%»"
22,05.06.2018,90,"8,0 - 10,0",Пресс-релиз НБ РК от 4 июня 2018 года № 14 «О снижении базовой ставки до уровня 9%»
23,10.07.2018,90,"8,0 - 10,0",Пресс-релиз НБ РК от 9 июля 2018 года № 18 «О сохранении базовой ставки на уровне 9%»Постановление Совета директоров НБ РК от 9 июля 2018 года № 110
24,04.09.2018,90,"8,0 - 10,0",Пресс-релиз НБ РК от 3 сентября 2018 года № 27 «О сохранении базовой ставки на уровне 9%»
25,16.10.2018,925,"8,25 - 10,25","Пресс-релиз НБ РК от 15 октября 2018 года № 34 «О повышении базовой ставки до 9,25%»"
26,05.12.2018,925,"8,25 - 10,25","Пресс-релиз НБ РК от 4 декабря 2018 года № 44 «О сохранении базовой ставки на уровне 9,25%»"
27,15.01.2019,925,"8,25 - 10,25","Пресс-релиз НБ РК от 14 января 2019 года № 1 «О сохранении базовой ставки на уровне 9,25%»Постановление Совета директоров НБ РК от 14 января 2019 года № 1"
28,05.03.2019,925,"8,25 - 10,25","Пресс-релиз НБ РК от 4 марта 2019 года № 7 «О сохранении базовой ставки на уровне 9,25%»Постановление Совета директоров НБ РК от 4 марта 2019 года № 16"
29,16.04.2019,900,"8,00 - 10,00","Пресс-релиз НБ РК от 15 апреля 2019 года № 11 «О снижении базовой ставки до 9,00%»Постановление Совета директоров НБ РК от 15 апреля 2019 года № 21"
30,04.06.2019,900,"8,00 - 10,00","Пресс-релиз НБ РК от 3 июня 2019 года № 19 «О сохранении базовой ставки на уровне 9,00%»Постановление Совета директоров НБ РК Казахстан от 3 июня 2019 года № 44"
