,Дата,ФУНТ СТЕРЛИНГОВ,ДИРХАМ ОАЭ,ДОЛЛАР США,ЕВРО,РОССИЙСКИЙ РУБЛЬ,ТУРЕЦКАЯ ЛИРА,"Размер ставки, %","Коридор базовой ставки, %"
0,2015-09-02,359.98,63.97,234.94,264.85,3.6,80.4,12.0,"7,0 - 17,0"
1,2015-09-03,368.86,65.66,241.15,272.07,3.61,81.85,12.0,"7,0 - 17,0"
2,2015-09-04,365.68,65.28,239.76,269.37,3.58,81.07,12.0,"7,0 - 17,0"
3,2015-09-05,365.08,65.24,239.6,266.91,3.54,80.44,12.0,"7,0 - 17,0"
4,2015-09-06,365.08,65.24,239.6,266.91,3.54,80.44,12.0,"7,0 - 17,0"
5,2015-09-07,365.08,65.24,239.6,266.91,3.54,80.44,12.0,"7,0 - 17,0"
6,2015-09-08,370.97,66.19,243.1,271.52,3.55,80.26,12.0,"7,0 - 17,0"
7,2015-09-09,376.79,66.71,245.02,274.05,3.57,81.09,12.0,"7,0 - 17,0"
8,2015-09-10,376.43,66.78,245.23,274.39,3.62,81.47,12.0,"7,0 - 17,0"
9,2015-09-11,389.29,68.89,253.0,283.33,3.72,83.19,12.0,"7,0 - 17,0"
10,2015-09-12,389.05,68.65,252.14,284.67,3.7,82.99,12.0,"7,0 - 17,0"
11,2015-09-13,389.05,68.65,252.14,284.67,3.7,82.99,12.0,"7,0 - 17,0"
12,2015-09-14,389.05,68.65,252.14,284.67,3.7,82.99,12.0,"7,0 - 17,0"
13,2015-09-15,422.55,74.48,273.55,310.1,4.03,89.38,12.0,"7,0 - 17,0"
14,2015-09-16,427.23,75.38,276.83,312.96,4.14,90.88,12.0,"7,0 - 17,0"
15,2015-09-17,437.36,77.32,283.98,319.48,4.33,94.1,12.0,"7,0 - 17,0"
16,2015-09-18,418.7,73.55,270.11,306.01,4.12,89.55,12.0,"7,0 - 17,0"
17,2015-09-19,423.6,73.72,270.69,309.94,4.09,90.39,12.0,"7,0 - 17,0"
18,2015-09-20,423.6,73.72,270.69,309.94,4.09,90.39,12.0,"7,0 - 17,0"
19,2015-09-21,423.6,73.72,270.69,309.94,4.09,90.39,12.0,"7,0 - 17,0"
20,2015-09-22,419.75,73.65,270.46,305.48,4.08,90.01,12.0,"7,0 - 17,0"
21,2015-09-23,417.93,73.51,269.96,302.17,4.08,89.78,12.0,"7,0 - 17,0"
22,2015-09-24,405.0,71.91,264.12,293.6,4.0,87.37,12.0,"7,0 - 17,0"
23,2015-09-25,405.0,71.91,264.12,293.6,4.0,87.37,12.0,"7,0 - 17,0"
24,2015-09-26,410.84,73.47,269.81,300.76,4.11,89.16,12.0,"7,0 - 17,0"
25,2015-09-27,410.84,73.47,269.81,300.76,4.11,89.16,12.0,"7,0 - 17,0"
26,2015-09-28,410.84,73.47,269.81,300.76,4.11,89.16,12.0,"7,0 - 17,0"
27,2015-09-29,411.17,73.51,269.99,301.88,4.11,88.64,12.0,"7,0 - 17,0"
28,2015-09-30,410.41,73.63,270.4,303.47,4.09,88.87,12.0,"7,0 - 17,0"
29,2015-10-01,411.02,73.76,270.89,303.97,4.13,89.64,12.0,"7,0 - 17,0"
30,2015-10-02,410.52,73.75,270.9,302.32,4.16,89.69,16.0,"15,0 - 17,0"
31,2015-10-03,410.69,73.8,271.05,302.63,4.1,89.54,16.0,"15,0 - 17,0"
32,2015-10-04,410.69,73.8,271.05,302.63,4.1,89.54,16.0,"15,0 - 17,0"
33,2015-10-05,410.69,73.8,271.05,302.63,4.1,89.54,16.0,"15,0 - 17,0"
34,2015-10-06,412.54,73.92,271.5,305.71,4.15,90.6,16.0,"15,0 - 17,0"
35,2015-10-07,413.93,74.31,272.95,305.87,4.21,91.36,16.0,"15,0 - 17,0"
36,2015-10-08,418.36,74.48,273.53,307.45,4.39,93.04,16.0,"15,0 - 17,0"
37,2015-10-09,419.91,74.6,274.0,309.62,4.4,93.12,16.0,"15,0 - 17,0"
38,2015-10-10,421.3,74.71,274.41,310.71,4.46,94.61,16.0,"15,0 - 17,0"
39,2015-10-11,421.3,74.71,274.41,310.71,4.46,94.61,16.0,"15,0 - 17,0"
40,2015-10-12,421.3,74.71,274.41,310.71,4.46,94.61,16.0,"15,0 - 17,0"
41,2015-10-13,421.97,74.87,274.95,312.87,4.51,93.91,16.0,"15,0 - 17,0"
42,2015-10-14,419.76,75.0,275.47,313.51,4.42,93.5,16.0,"15,0 - 17,0"
43,2015-10-15,423.84,75.14,275.99,314.74,4.37,93.64,16.0,"15,0 - 17,0"
44,2015-10-16,429.23,75.43,277.05,317.17,4.47,95.87,16.0,"15,0 - 17,0"
45,2015-10-17,426.57,75.18,276.1,313.65,4.5,95.44,16.0,"15,0 - 17,0"
46,2015-10-18,426.57,75.18,276.1,313.65,4.5,95.44,16.0,"15,0 - 17,0"
47,2015-10-19,426.57,75.18,276.1,313.65,4.5,95.44,16.0,"15,0 - 17,0"
48,2015-10-20,428.19,75.39,276.88,314.48,4.49,95.86,16.0,"15,0 - 17,0"
49,2015-10-21,428.84,75.45,277.1,314.73,4.45,95.54,16.0,"15,0 - 17,0"
50,2015-10-22,428.34,75.56,277.51,315.2,4.41,95.59,16.0,"15,0 - 17,0"
51,2015-10-23,430.36,75.75,278.21,314.77,4.44,96.33,16.0,"15,0 - 17,0"
52,2015-10-24,427.45,75.56,277.51,308.81,4.47,96.74,16.0,"15,0 - 17,0"
53,2015-10-25,427.45,75.56,277.51,308.81,4.47,96.74,16.0,"15,0 - 17,0"
54,2015-10-26,427.45,75.56,277.51,308.81,4.47,96.74,16.0,"15,0 - 17,0"
55,2015-10-27,426.93,75.84,278.55,307.18,4.47,96.35,16.0,"15,0 - 17,0"
56,2015-10-28,428.06,75.94,278.92,307.98,4.39,96.27,16.0,"15,0 - 17,0"
57,2015-10-29,427.14,76.02,279.21,308.53,4.32,96.58,16.0,"15,0 - 17,0"
58,2015-10-30,426.13,76.02,279.21,305.57,4.32,95.5,16.0,"15,0 - 17,0"
59,2015-10-31,427.96,76.01,279.18,307.27,4.35,95.71,16.0,"15,0 - 17,0"
60,2015-11-01,427.96,76.01,279.18,307.27,4.35,95.71,16.0,"15,0 - 17,0"
61,2015-11-02,427.96,76.01,279.18,307.27,4.35,95.71,16.0,"15,0 - 17,0"
62,2015-11-03,432.78,76.33,280.37,308.83,4.39,99.95,16.0,"15,0 - 17,0"
63,2015-11-04,435.75,76.97,282.7,310.69,4.42,99.75,16.0,"15,0 - 17,0"
64,2015-11-05,438.36,77.4,284.28,310.49,4.52,99.93,16.0,"15,0 - 17,0"
65,2015-11-06,459.89,81.39,298.92,325.37,4.73,104.08,16.0,"15,0 - 17,0"
66,2015-11-07,466.55,83.73,307.53,334.29,4.83,106.91,16.0,"15,0 - 17,0"
67,2015-11-08,466.55,83.73,307.53,334.29,4.83,106.91,16.0,"15,0 - 17,0"
68,2015-11-09,466.55,83.73,307.53,334.29,4.83,106.91,16.0,"15,0 - 17,0"
69,2015-11-10,471.07,85.12,312.65,336.41,4.85,106.94,16.0,"15,0 - 17,0"
70,2015-11-11,463.39,83.52,306.74,329.68,4.77,105.43,16.0,"15,0 - 17,0"
71,2015-11-12,464.79,83.56,306.85,329.37,4.76,105.96,16.0,"15,0 - 17,0"
72,2015-11-13,465.56,83.47,306.57,328.28,4.69,106.41,16.0,"15,0 - 17,0"
73,2015-11-14,468.27,83.78,307.73,330.99,4.62,106.97,16.0,"15,0 - 17,0"
74,2015-11-15,468.27,83.78,307.73,330.99,4.62,106.97,16.0,"15,0 - 17,0"
75,2015-11-16,468.27,83.78,307.73,330.99,4.62,106.97,16.0,"15,0 - 17,0"
76,2015-11-17,468.71,83.96,308.36,331.09,4.67,107.11,16.0,"15,0 - 17,0"
77,2015-11-18,466.38,83.75,307.62,327.49,4.69,106.96,16.0,"15,0 - 17,0"
78,2015-11-19,468.38,83.77,307.68,328.26,4.76,107.33,16.0,"15,0 - 17,0"
79,2015-11-20,469.34,83.69,307.4,328.4,4.73,107.83,16.0,"15,0 - 17,0"
80,2015-11-21,469.34,83.67,307.32,328.25,4.73,108.13,16.0,"15,0 - 17,0"
81,2015-11-22,469.34,83.67,307.32,328.25,4.73,108.13,16.0,"15,0 - 17,0"
82,2015-11-23,469.34,83.67,307.32,328.25,4.73,108.13,16.0,"15,0 - 17,0"
83,2015-11-24,465.73,83.64,307.21,326.63,4.67,108.06,16.0,"15,0 - 17,0"
84,2015-11-25,464.29,83.62,307.13,327.34,4.67,106.94,16.0,"15,0 - 17,0"
85,2015-11-26,463.17,83.61,307.08,327.26,4.69,106.32,16.0,"15,0 - 17,0"
86,2015-11-27,463.43,83.64,307.21,325.98,4.68,106.12,16.0,"15,0 - 17,0"
87,2015-11-28,463.13,83.65,307.2,326.06,4.64,104.99,16.0,"15,0 - 17,0"
88,2015-11-29,463.13,83.65,307.2,326.06,4.64,104.99,16.0,"15,0 - 17,0"
89,2015-11-30,463.13,83.65,307.2,326.06,4.64,104.99,16.0,"15,0 - 17,0"
90,2015-12-01,461.62,83.69,307.4,325.14,4.61,105.48,16.0,"15,0 - 17,0"
91,2015-12-02,461.62,83.69,307.4,325.14,4.61,105.48,16.0,"15,0 - 17,0"
92,2015-12-03,463.55,83.8,307.76,326.59,4.61,107.01,16.0,"15,0 - 17,0"
93,2015-12-04,459.43,83.85,307.93,325.64,4.54,106.82,16.0,"15,0 - 17,0"
94,2015-12-05,463.84,83.61,307.08,333.73,4.54,106.53,16.0,"15,0 - 17,0"
95,2015-12-06,463.84,83.61,307.08,333.73,4.54,106.53,16.0,"15,0 - 17,0"
96,2015-12-07,463.84,83.61,307.08,333.73,4.54,106.53,16.0,"15,0 - 17,0"
97,2015-12-08,462.83,83.6,307.04,331.94,4.48,106.31,16.0,"15,0 - 17,0"
98,2015-12-09,462.61,83.82,307.87,334.65,4.43,105.63,16.0,"15,0 - 17,0"
99,2015-12-10,464.82,84.17,309.12,337.56,4.47,106.12,16.0,"15,0 - 17,0"
100,2015-12-11,471.02,84.5,310.37,340.6,4.49,106.66,16.0,"15,0 - 17,0"
101,2015-12-12,472.96,84.92,311.92,342.15,4.49,106.06,16.0,"15,0 - 17,0"
102,2015-12-13,472.96,84.92,311.92,342.15,4.49,106.06,16.0,"15,0 - 17,0"
103,2015-12-14,472.96,84.92,311.92,342.15,4.49,106.06,16.0,"15,0 - 17,0"
104,2015-12-15,488.64,87.79,322.47,353.17,4.59,109.13,16.0,"15,0 - 17,0"
105,2015-12-16,511.77,91.98,337.8,372.36,4.79,113.41,16.0,"15,0 - 17,0"
106,2015-12-17,511.77,91.98,337.8,372.36,4.79,113.41,16.0,"15,0 - 17,0"
107,2015-12-18,511.77,91.98,337.8,372.36,4.79,113.41,16.0,"15,0 - 17,0"
108,2015-12-19,510.28,93.1,341.94,370.08,4.79,116.94,16.0,"15,0 - 17,0"
109,2015-12-20,510.28,93.1,341.94,370.08,4.79,116.94,16.0,"15,0 - 17,0"
110,2015-12-21,510.28,93.1,341.94,370.08,4.79,116.94,16.0,"15,0 - 17,0"
111,2015-12-22,520.26,95.06,349.12,379.0,4.91,120.14,16.0,"15,0 - 17,0"
112,2015-12-23,501.59,91.67,336.66,367.46,4.74,115.4,16.0,"15,0 - 17,0"
113,2015-12-24,492.08,90.28,331.59,362.2,4.68,113.45,16.0,"15,0 - 17,0"
114,2015-12-25,484.69,88.72,325.8,357.04,4.67,111.42,16.0,"15,0 - 17,0"
115,2015-12-26,488.59,88.86,326.38,357.53,4.65,111.95,16.0,"15,0 - 17,0"
116,2015-12-27,488.59,88.86,326.38,357.53,4.65,111.95,16.0,"15,0 - 17,0"
117,2015-12-28,488.59,88.86,326.38,357.53,4.65,111.95,16.0,"15,0 - 17,0"
118,2015-12-29,494.68,90.23,331.38,363.52,4.64,113.49,16.0,"15,0 - 17,0"
119,2015-12-30,502.71,91.95,337.66,371.02,4.64,116.11,16.0,"15,0 - 17,0"
120,2015-12-31,503.3,92.42,339.47,371.31,4.65,116.77,16.0,"15,0 - 17,0"
121,2016-01-01,504.06,92.57,340.01,371.46,4.61,116.48,16.0,"15,0 - 17,0"
122,2016-01-02,504.06,92.57,340.01,371.46,4.61,116.48,16.0,"15,0 - 17,0"
123,2016-01-03,504.06,92.57,340.01,371.46,4.61,116.48,16.0,"15,0 - 17,0"
124,2016-01-04,504.06,92.57,340.01,371.46,4.61,116.48,16.0,"15,0 - 17,0"
125,2016-01-05,504.06,92.57,340.01,371.46,4.61,116.48,16.0,"15,0 - 17,0"
126,2016-01-06,503.46,93.42,343.11,370.28,4.68,115.47,16.0,"15,0 - 17,0"
127,2016-01-07,504.3,93.85,344.68,369.6,4.66,114.51,16.0,"15,0 - 17,0"
128,2016-01-08,504.3,93.85,344.68,369.6,4.66,114.51,16.0,"15,0 - 17,0"
129,2016-01-09,514.16,95.8,351.85,382.64,4.74,117.57,16.0,"15,0 - 17,0"
